path,tm_id,source,category_id,doc_id
glyph_crops_merged_by_tm/TM_60492/4025_30458_cat8__opencv.jpg,TM_60492,opencv,8,4025_30458
glyph_crops_merged_by_tm/TM_60492/4025_25_cat45__kornia.jpg,TM_60492,kornia,45,4025_25
glyph_crops_merged_by_tm/TM_60492/4025_30450_cat9__opencv.jpg,TM_60492,opencv,9,4025_30450
glyph_crops_merged_by_tm/TM_60492/4025_64_cat100__kornia.jpg,TM_60492,kornia,100,4025_64
glyph_crops_merged_by_tm/TM_60492/4025_50_cat45__kornia.jpg,TM_60492,kornia,45,4025_50
glyph_crops_merged_by_tm/TM_60492/4025_30472_cat8__opencv.jpg,TM_60492,opencv,8,4025_30472
glyph_crops_merged_by_tm/TM_60492/4025_17_cat23__kornia.jpg,TM_60492,kornia,23,4025_17
glyph_crops_merged_by_tm/TM_60492/4025_30412_cat225__opencv.jpg,TM_60492,opencv,225,4025_30412
glyph_crops_merged_by_tm/TM_60492/4025_12_cat201__kornia.jpg,TM_60492,kornia,201,4025_12
glyph_crops_merged_by_tm/TM_60492/4025_30456_cat225__opencv.jpg,TM_60492,opencv,225,4025_30456
glyph_crops_merged_by_tm/TM_60492/4025_56_cat212__kornia.jpg,TM_60492,kornia,212,4025_56
glyph_crops_merged_by_tm/TM_60492/4025_30463_cat186__opencv.jpg,TM_60492,opencv,186,4025_30463
glyph_crops_merged_by_tm/TM_60492/4025_30429_cat45__opencv.jpg,TM_60492,opencv,45,4025_30429
glyph_crops_merged_by_tm/TM_60492/4025_8_cat225__kornia.jpg,TM_60492,kornia,225,4025_8
glyph_crops_merged_by_tm/TM_60492/4025_69_cat150__kornia.jpg,TM_60492,kornia,150,4025_69
glyph_crops_merged_by_tm/TM_60492/4025_30447_cat100__opencv.jpg,TM_60492,opencv,100,4025_30447
glyph_crops_merged_by_tm/TM_60492/4025_36_cat100__kornia.jpg,TM_60492,kornia,100,4025_36
glyph_crops_merged_by_tm/TM_60492/4025_60_cat100__kornia.jpg,TM_60492,kornia,100,4025_60
glyph_crops_merged_by_tm/TM_60492/4025_30483_cat150__opencv.jpg,TM_60492,opencv,150,4025_30483
glyph_crops_merged_by_tm/TM_60492/4025_34_cat23__kornia.jpg,TM_60492,kornia,23,4025_34
glyph_crops_merged_by_tm/TM_60492/4025_29_cat8__kornia.jpg,TM_60492,kornia,8,4025_29
glyph_crops_merged_by_tm/TM_60492/4025_30462_cat119__opencv.jpg,TM_60492,opencv,119,4025_30462
glyph_crops_merged_by_tm/TM_60492/4025_35_cat225__kornia.jpg,TM_60492,kornia,225,4025_35
glyph_crops_merged_by_tm/TM_60492/4025_30419_cat225__opencv.jpg,TM_60492,opencv,225,4025_30419
glyph_crops_merged_by_tm/TM_60492/4025_20_cat201__kornia.jpg,TM_60492,kornia,201,4025_20
glyph_crops_merged_by_tm/TM_60492/4025_33_cat8__kornia.jpg,TM_60492,kornia,8,4025_33
glyph_crops_merged_by_tm/TM_60492/4025_23_cat107__kornia.jpg,TM_60492,kornia,107,4025_23
glyph_crops_merged_by_tm/TM_60492/4025_30435_cat8__opencv.jpg,TM_60492,opencv,8,4025_30435
glyph_crops_merged_by_tm/TM_60492/4025_30436_cat45__opencv.jpg,TM_60492,opencv,45,4025_30436
glyph_crops_merged_by_tm/TM_60492/4025_30455_cat33__opencv.jpg,TM_60492,opencv,33,4025_30455
glyph_crops_merged_by_tm/TM_60492/4025_30465_cat8__opencv.jpg,TM_60492,opencv,8,4025_30465
glyph_crops_merged_by_tm/TM_60492/4025_37_cat7__kornia.jpg,TM_60492,kornia,7,4025_37
glyph_crops_merged_by_tm/TM_60492/4025_30474_cat111__opencv.jpg,TM_60492,opencv,111,4025_30474
glyph_crops_merged_by_tm/TM_60492/4025_30420_cat8__opencv.jpg,TM_60492,opencv,8,4025_30420
glyph_crops_merged_by_tm/TM_60492/4025_30448_cat7__opencv.jpg,TM_60492,opencv,7,4025_30448
glyph_crops_merged_by_tm/TM_60492/4025_53_cat23__kornia.jpg,TM_60492,kornia,23,4025_53
glyph_crops_merged_by_tm/TM_60492/4025_65_cat161__kornia.jpg,TM_60492,kornia,161,4025_65
glyph_crops_merged_by_tm/TM_60492/4025_30_cat8__kornia.jpg,TM_60492,kornia,8,4025_30
glyph_crops_merged_by_tm/TM_60492/4025_30440_cat8__opencv.jpg,TM_60492,opencv,8,4025_30440
glyph_crops_merged_by_tm/TM_60492/4025_28_cat59__kornia.jpg,TM_60492,kornia,59,4025_28
glyph_crops_merged_by_tm/TM_60492/4025_38_cat14__kornia.jpg,TM_60492,kornia,14,4025_38
glyph_crops_merged_by_tm/TM_60492/4025_30411_cat14__opencv.jpg,TM_60492,opencv,14,4025_30411
glyph_crops_merged_by_tm/TM_60492/4025_30484_cat201__opencv.jpg,TM_60492,opencv,201,4025_30484
glyph_crops_merged_by_tm/TM_60492/4025_30438_cat225__opencv.jpg,TM_60492,opencv,225,4025_30438
glyph_crops_merged_by_tm/TM_60492/4025_30457_cat225__opencv.jpg,TM_60492,opencv,225,4025_30457
glyph_crops_merged_by_tm/TM_60492/4025_10_cat161__kornia.jpg,TM_60492,kornia,161,4025_10
glyph_crops_merged_by_tm/TM_60492/4025_13_cat225__kornia.jpg,TM_60492,kornia,225,4025_13
glyph_crops_merged_by_tm/TM_60492/4025_30424_cat225__opencv.jpg,TM_60492,opencv,225,4025_30424
glyph_crops_merged_by_tm/TM_60492/4025_66_cat161__kornia.jpg,TM_60492,kornia,161,4025_66
glyph_crops_merged_by_tm/TM_60492/4025_16_cat212__kornia.jpg,TM_60492,kornia,212,4025_16
glyph_crops_merged_by_tm/TM_60492/4025_5_cat161__kornia.jpg,TM_60492,kornia,161,4025_5
glyph_crops_merged_by_tm/TM_60492/4025_26_cat8__kornia.jpg,TM_60492,kornia,8,4025_26
glyph_crops_merged_by_tm/TM_60492/4025_30451_cat150__opencv.jpg,TM_60492,opencv,150,4025_30451
glyph_crops_merged_by_tm/TM_60492/4025_30460_cat201__opencv.jpg,TM_60492,opencv,201,4025_30460
glyph_crops_merged_by_tm/TM_60492/4025_30423_cat201__opencv.jpg,TM_60492,opencv,201,4025_30423
glyph_crops_merged_by_tm/TM_60492/4025_30459_cat225__opencv.jpg,TM_60492,opencv,225,4025_30459
glyph_crops_merged_by_tm/TM_60492/4025_3_cat23__kornia.jpg,TM_60492,kornia,23,4025_3
glyph_crops_merged_by_tm/TM_60492/4025_41_cat107__kornia.jpg,TM_60492,kornia,107,4025_41
glyph_crops_merged_by_tm/TM_60492/4025_70_cat201__kornia.jpg,TM_60492,kornia,201,4025_70
glyph_crops_merged_by_tm/TM_60492/4025_31_cat212__kornia.jpg,TM_60492,kornia,212,4025_31
glyph_crops_merged_by_tm/TM_60492/4025_9_cat8__kornia.jpg,TM_60492,kornia,8,4025_9
glyph_crops_merged_by_tm/TM_60492/4025_57_cat150__kornia.jpg,TM_60492,kornia,150,4025_57
glyph_crops_merged_by_tm/TM_60492/4025_30413_cat150__opencv.jpg,TM_60492,opencv,150,4025_30413
glyph_crops_merged_by_tm/TM_60492/4025_30452_cat107__opencv.jpg,TM_60492,opencv,107,4025_30452
glyph_crops_merged_by_tm/TM_60492/4025_30417_cat7__opencv.jpg,TM_60492,opencv,7,4025_30417
glyph_crops_merged_by_tm/TM_60492/4025_14_cat8__kornia.jpg,TM_60492,kornia,8,4025_14
glyph_crops_merged_by_tm/TM_60492/4025_67_cat119__kornia.jpg,TM_60492,kornia,119,4025_67
glyph_crops_merged_by_tm/TM_60492/4025_30437_cat8__opencv.jpg,TM_60492,opencv,8,4025_30437
glyph_crops_merged_by_tm/TM_60492/4025_30426_cat120__opencv.jpg,TM_60492,opencv,120,4025_30426
glyph_crops_merged_by_tm/TM_60492/4025_30471_cat100__opencv.jpg,TM_60492,opencv,100,4025_30471
glyph_crops_merged_by_tm/TM_60492/4025_63_cat111__kornia.jpg,TM_60492,kornia,111,4025_63
glyph_crops_merged_by_tm/TM_60492/4025_30449_cat14__opencv.jpg,TM_60492,opencv,14,4025_30449
glyph_crops_merged_by_tm/TM_60492/4025_68_cat150__kornia.jpg,TM_60492,kornia,150,4025_68
glyph_crops_merged_by_tm/TM_60492/4025_30431_cat201__opencv.jpg,TM_60492,opencv,201,4025_30431
glyph_crops_merged_by_tm/TM_60492/4025_30475_cat100__opencv.jpg,TM_60492,opencv,100,4025_30475
glyph_crops_merged_by_tm/TM_60492/4025_30446_cat225__opencv.jpg,TM_60492,opencv,225,4025_30446
glyph_crops_merged_by_tm/TM_60492/4025_30422_cat120__opencv.jpg,TM_60492,opencv,120,4025_30422
glyph_crops_merged_by_tm/TM_60492/4025_30433_cat120__opencv.jpg,TM_60492,opencv,120,4025_30433
glyph_crops_merged_by_tm/TM_60492/4025_30443_cat23__opencv.jpg,TM_60492,opencv,23,4025_30443
glyph_crops_merged_by_tm/TM_60492/4025_61_cat8__kornia.jpg,TM_60492,kornia,8,4025_61
glyph_crops_merged_by_tm/TM_60492/4025_30441_cat8__opencv.jpg,TM_60492,opencv,8,4025_30441
glyph_crops_merged_by_tm/TM_60492/4025_44_cat33__kornia.jpg,TM_60492,kornia,33,4025_44
glyph_crops_merged_by_tm/TM_60492/4025_30479_cat119__opencv.jpg,TM_60492,opencv,119,4025_30479
glyph_crops_merged_by_tm/TM_60492/4025_55_cat23__kornia.jpg,TM_60492,kornia,23,4025_55
glyph_crops_merged_by_tm/TM_60492/4025_30428_cat23__opencv.jpg,TM_60492,opencv,23,4025_30428
glyph_crops_merged_by_tm/TM_60492/4025_39_cat9__kornia.jpg,TM_60492,kornia,9,4025_39
glyph_crops_merged_by_tm/TM_60492/4025_42_cat23__kornia.jpg,TM_60492,kornia,23,4025_42
glyph_crops_merged_by_tm/TM_60221/4223_246_cat14__kornia.jpg,TM_60221,kornia,14,4223_246
glyph_crops_merged_by_tm/TM_60221/4223_7925_cat17__opencv.jpg,TM_60221,opencv,17,4223_7925
glyph_crops_merged_by_tm/TM_60221/4223_7953_cat212__opencv.jpg,TM_60221,opencv,212,4223_7953
glyph_crops_merged_by_tm/TM_60221/4223_6_cat177__kornia.jpg,TM_60221,kornia,177,4223_6
glyph_crops_merged_by_tm/TM_60221/4223_79_cat161__kornia.jpg,TM_60221,kornia,161,4223_79
glyph_crops_merged_by_tm/TM_60221/4223_7893_cat23__opencv.jpg,TM_60221,opencv,23,4223_7893
glyph_crops_merged_by_tm/TM_60221/4223_286_cat120__kornia.jpg,TM_60221,kornia,120,4223_286
glyph_crops_merged_by_tm/TM_60221/4223_7930_cat212__opencv.jpg,TM_60221,opencv,212,4223_7930
glyph_crops_merged_by_tm/TM_60221/4223_8124_cat23__opencv.jpg,TM_60221,opencv,23,4223_8124
glyph_crops_merged_by_tm/TM_60221/4223_8053_cat8__opencv.jpg,TM_60221,opencv,8,4223_8053
glyph_crops_merged_by_tm/TM_60221/4223_7848_cat14__opencv.jpg,TM_60221,opencv,14,4223_7848
glyph_crops_merged_by_tm/TM_60221/4223_232_cat14__kornia.jpg,TM_60221,kornia,14,4223_232
glyph_crops_merged_by_tm/TM_60221/4223_135_cat23__kornia.jpg,TM_60221,kornia,23,4223_135
glyph_crops_merged_by_tm/TM_60221/4223_8061_cat225__opencv.jpg,TM_60221,opencv,225,4223_8061
glyph_crops_merged_by_tm/TM_60221/4223_7952_cat212__opencv.jpg,TM_60221,opencv,212,4223_7952
glyph_crops_merged_by_tm/TM_60221/4223_7995_cat212__opencv.jpg,TM_60221,opencv,212,4223_7995
glyph_crops_merged_by_tm/TM_60221/4223_55_cat14__kornia.jpg,TM_60221,kornia,14,4223_55
glyph_crops_merged_by_tm/TM_60221/4223_256_cat77__kornia.jpg,TM_60221,kornia,77,4223_256
glyph_crops_merged_by_tm/TM_60221/4223_7889_cat111__opencv.jpg,TM_60221,opencv,111,4223_7889
glyph_crops_merged_by_tm/TM_60221/4223_7993_cat107__opencv.jpg,TM_60221,opencv,107,4223_7993
glyph_crops_merged_by_tm/TM_60221/4223_218_cat107__kornia.jpg,TM_60221,kornia,107,4223_218
glyph_crops_merged_by_tm/TM_60221/4223_66_cat119__kornia.jpg,TM_60221,kornia,119,4223_66
glyph_crops_merged_by_tm/TM_60221/4223_239_cat8__kornia.jpg,TM_60221,kornia,8,4223_239
glyph_crops_merged_by_tm/TM_60221/4223_234_cat120__kornia.jpg,TM_60221,kornia,120,4223_234
glyph_crops_merged_by_tm/TM_60221/4223_268_cat100__kornia.jpg,TM_60221,kornia,100,4223_268
glyph_crops_merged_by_tm/TM_60221/4223_107_cat8__kornia.jpg,TM_60221,kornia,8,4223_107
glyph_crops_merged_by_tm/TM_60221/4223_132_cat225__kornia.jpg,TM_60221,kornia,225,4223_132
glyph_crops_merged_by_tm/TM_60221/4223_7935_cat59__opencv.jpg,TM_60221,opencv,59,4223_7935
glyph_crops_merged_by_tm/TM_60221/4223_275_cat111__kornia.jpg,TM_60221,kornia,111,4223_275
glyph_crops_merged_by_tm/TM_60221/4223_204_cat45__kornia.jpg,TM_60221,kornia,45,4223_204
glyph_crops_merged_by_tm/TM_60221/4223_8034_cat45__opencv.jpg,TM_60221,opencv,45,4223_8034
glyph_crops_merged_by_tm/TM_60221/4223_8004_cat201__opencv.jpg,TM_60221,opencv,201,4223_8004
glyph_crops_merged_by_tm/TM_60221/4223_184_cat119__kornia.jpg,TM_60221,kornia,119,4223_184
glyph_crops_merged_by_tm/TM_60221/4223_198_cat225__kornia.jpg,TM_60221,kornia,225,4223_198
glyph_crops_merged_by_tm/TM_60221/4223_8036_cat45__opencv.jpg,TM_60221,opencv,45,4223_8036
glyph_crops_merged_by_tm/TM_60221/4223_112_cat100__kornia.jpg,TM_60221,kornia,100,4223_112
glyph_crops_merged_by_tm/TM_60221/4223_8015_cat33__opencv.jpg,TM_60221,opencv,33,4223_8015
glyph_crops_merged_by_tm/TM_60221/4223_7962_cat119__opencv.jpg,TM_60221,opencv,119,4223_7962
glyph_crops_merged_by_tm/TM_60221/4223_7947_cat212__opencv.jpg,TM_60221,opencv,212,4223_7947
glyph_crops_merged_by_tm/TM_60221/4223_267_cat212__kornia.jpg,TM_60221,kornia,212,4223_267
glyph_crops_merged_by_tm/TM_60221/4223_7883_cat23__opencv.jpg,TM_60221,opencv,23,4223_7883
glyph_crops_merged_by_tm/TM_60221/4223_54_cat7__kornia.jpg,TM_60221,kornia,7,4223_54
glyph_crops_merged_by_tm/TM_60221/4223_231_cat119__kornia.jpg,TM_60221,kornia,119,4223_231
glyph_crops_merged_by_tm/TM_60221/4223_165_cat100__kornia.jpg,TM_60221,kornia,100,4223_165
glyph_crops_merged_by_tm/TM_60221/4223_71_cat201__kornia.jpg,TM_60221,kornia,201,4223_71
glyph_crops_merged_by_tm/TM_60221/4223_7855_cat14__opencv.jpg,TM_60221,opencv,14,4223_7855
glyph_crops_merged_by_tm/TM_60221/4223_211_cat225__kornia.jpg,TM_60221,kornia,225,4223_211
glyph_crops_merged_by_tm/TM_60221/4223_221_cat59__kornia.jpg,TM_60221,kornia,59,4223_221
glyph_crops_merged_by_tm/TM_60221/4223_8014_cat111__opencv.jpg,TM_60221,opencv,111,4223_8014
glyph_crops_merged_by_tm/TM_60221/4223_125_cat23__kornia.jpg,TM_60221,kornia,23,4223_125
glyph_crops_merged_by_tm/TM_60221/4223_7910_cat177__opencv.jpg,TM_60221,opencv,177,4223_7910
glyph_crops_merged_by_tm/TM_60221/4223_236_cat8__kornia.jpg,TM_60221,kornia,8,4223_236
glyph_crops_merged_by_tm/TM_60221/4223_7862_cat119__opencv.jpg,TM_60221,opencv,119,4223_7862
glyph_crops_merged_by_tm/TM_60221/4223_227_cat225__kornia.jpg,TM_60221,kornia,225,4223_227
glyph_crops_merged_by_tm/TM_60221/4223_8132_cat212__opencv.jpg,TM_60221,opencv,212,4223_8132
glyph_crops_merged_by_tm/TM_60221/4223_269_cat119__kornia.jpg,TM_60221,kornia,119,4223_269
glyph_crops_merged_by_tm/TM_60221/4223_7882_cat14__opencv.jpg,TM_60221,opencv,14,4223_7882
glyph_crops_merged_by_tm/TM_60221/4223_277_cat8__kornia.jpg,TM_60221,kornia,8,4223_277
glyph_crops_merged_by_tm/TM_60221/4223_8012_cat77__opencv.jpg,TM_60221,opencv,77,4223_8012
glyph_crops_merged_by_tm/TM_60221/4223_186_cat33__kornia.jpg,TM_60221,kornia,33,4223_186
glyph_crops_merged_by_tm/TM_60221/4223_7909_cat201__opencv.jpg,TM_60221,opencv,201,4223_7909
glyph_crops_merged_by_tm/TM_60221/4223_7975_cat33__opencv.jpg,TM_60221,opencv,33,4223_7975
glyph_crops_merged_by_tm/TM_60221/4223_156_cat201__kornia.jpg,TM_60221,kornia,201,4223_156
glyph_crops_merged_by_tm/TM_60221/4223_60_cat23__kornia.jpg,TM_60221,kornia,23,4223_60
glyph_crops_merged_by_tm/TM_60221/4223_8102_cat212__opencv.jpg,TM_60221,opencv,212,4223_8102
glyph_crops_merged_by_tm/TM_60221/4223_192_cat8__kornia.jpg,TM_60221,kornia,8,4223_192
glyph_crops_merged_by_tm/TM_60221/4223_288_cat107__kornia.jpg,TM_60221,kornia,107,4223_288
glyph_crops_merged_by_tm/TM_60221/4223_134_cat201__kornia.jpg,TM_60221,kornia,201,4223_134
glyph_crops_merged_by_tm/TM_60221/4223_85_cat33__kornia.jpg,TM_60221,kornia,33,4223_85
glyph_crops_merged_by_tm/TM_60221/4223_8104_cat119__opencv.jpg,TM_60221,opencv,119,4223_8104
glyph_crops_merged_by_tm/TM_60221/4223_220_cat23__kornia.jpg,TM_60221,kornia,23,4223_220
glyph_crops_merged_by_tm/TM_60221/4223_7851_cat8__opencv.jpg,TM_60221,opencv,8,4223_7851
glyph_crops_merged_by_tm/TM_60221/4223_7954_cat119__opencv.jpg,TM_60221,opencv,119,4223_7954
glyph_crops_merged_by_tm/TM_60221/4223_7991_cat23__opencv.jpg,TM_60221,opencv,23,4223_7991
glyph_crops_merged_by_tm/TM_60221/4223_7904_cat201__opencv.jpg,TM_60221,opencv,201,4223_7904
glyph_crops_merged_by_tm/TM_60221/4223_7857_cat8__opencv.jpg,TM_60221,opencv,8,4223_7857
glyph_crops_merged_by_tm/TM_60221/4223_7941_cat8__opencv.jpg,TM_60221,opencv,8,4223_7941
glyph_crops_merged_by_tm/TM_60221/4223_102_cat119__kornia.jpg,TM_60221,kornia,119,4223_102
glyph_crops_merged_by_tm/TM_60221/4223_141_cat33__kornia.jpg,TM_60221,kornia,33,4223_141
glyph_crops_merged_by_tm/TM_60221/4223_8028_cat59__opencv.jpg,TM_60221,opencv,59,4223_8028
glyph_crops_merged_by_tm/TM_60221/4223_7875_cat100__opencv.jpg,TM_60221,opencv,100,4223_7875
glyph_crops_merged_by_tm/TM_60221/4223_7866_cat14__opencv.jpg,TM_60221,opencv,14,4223_7866
glyph_crops_merged_by_tm/TM_60221/4223_7884_cat59__opencv.jpg,TM_60221,opencv,59,4223_7884
glyph_crops_merged_by_tm/TM_60221/4223_177_cat150__kornia.jpg,TM_60221,kornia,150,4223_177
glyph_crops_merged_by_tm/TM_60221/4223_7986_cat161__opencv.jpg,TM_60221,opencv,161,4223_7986
glyph_crops_merged_by_tm/TM_60221/4223_8126_cat150__opencv.jpg,TM_60221,opencv,150,4223_8126
glyph_crops_merged_by_tm/TM_60221/4223_8020_cat33__opencv.jpg,TM_60221,opencv,33,4223_8020
glyph_crops_merged_by_tm/TM_60221/4223_7839_cat33__opencv.jpg,TM_60221,opencv,33,4223_7839
glyph_crops_merged_by_tm/TM_60221/4223_8125_cat225__opencv.jpg,TM_60221,opencv,225,4223_8125
glyph_crops_merged_by_tm/TM_60221/4223_7922_cat120__opencv.jpg,TM_60221,opencv,120,4223_7922
glyph_crops_merged_by_tm/TM_60221/4223_7897_cat23__opencv.jpg,TM_60221,opencv,23,4223_7897
glyph_crops_merged_by_tm/TM_60221/4223_130_cat119__kornia.jpg,TM_60221,kornia,119,4223_130
glyph_crops_merged_by_tm/TM_60221/4223_8002_cat8__opencv.jpg,TM_60221,opencv,8,4223_8002
glyph_crops_merged_by_tm/TM_60221/4223_128_cat119__kornia.jpg,TM_60221,kornia,119,4223_128
glyph_crops_merged_by_tm/TM_60221/4223_7906_cat107__opencv.jpg,TM_60221,opencv,107,4223_7906
glyph_crops_merged_by_tm/TM_60221/4223_98_cat212__kornia.jpg,TM_60221,kornia,212,4223_98
glyph_crops_merged_by_tm/TM_60221/4223_7905_cat201__opencv.jpg,TM_60221,opencv,201,4223_7905
glyph_crops_merged_by_tm/TM_60221/4223_7877_cat161__opencv.jpg,TM_60221,opencv,161,4223_7877
glyph_crops_merged_by_tm/TM_60221/4223_202_cat45__kornia.jpg,TM_60221,kornia,45,4223_202
glyph_crops_merged_by_tm/TM_60221/4223_113_cat212__kornia.jpg,TM_60221,kornia,212,4223_113
glyph_crops_merged_by_tm/TM_60221/4223_8026_cat8__opencv.jpg,TM_60221,opencv,8,4223_8026
glyph_crops_merged_by_tm/TM_60221/4223_8136_cat212__opencv.jpg,TM_60221,opencv,212,4223_8136
glyph_crops_merged_by_tm/TM_60221/4223_133_cat45__kornia.jpg,TM_60221,kornia,45,4223_133
glyph_crops_merged_by_tm/TM_60221/4223_178_cat77__kornia.jpg,TM_60221,kornia,77,4223_178
glyph_crops_merged_by_tm/TM_60221/4223_7890_cat119__opencv.jpg,TM_60221,opencv,119,4223_7890
glyph_crops_merged_by_tm/TM_60221/4223_284_cat212__kornia.jpg,TM_60221,kornia,212,4223_284
glyph_crops_merged_by_tm/TM_60221/4223_1_cat23__kornia.jpg,TM_60221,kornia,23,4223_1
glyph_crops_merged_by_tm/TM_60221/4223_7846_cat212__opencv.jpg,TM_60221,opencv,212,4223_7846
glyph_crops_merged_by_tm/TM_60221/4223_88_cat14__kornia.jpg,TM_60221,kornia,14,4223_88
glyph_crops_merged_by_tm/TM_60221/4223_2_cat225__kornia.jpg,TM_60221,kornia,225,4223_2
glyph_crops_merged_by_tm/TM_60221/4223_140_cat186__kornia.jpg,TM_60221,kornia,186,4223_140
glyph_crops_merged_by_tm/TM_60221/4223_7956_cat225__opencv.jpg,TM_60221,opencv,225,4223_7956
glyph_crops_merged_by_tm/TM_60221/4223_58_cat120__kornia.jpg,TM_60221,kornia,120,4223_58
glyph_crops_merged_by_tm/TM_60221/4223_7927_cat23__opencv.jpg,TM_60221,opencv,23,4223_7927
glyph_crops_merged_by_tm/TM_60221/4223_7_cat8__kornia.jpg,TM_60221,kornia,8,4223_7
glyph_crops_merged_by_tm/TM_60221/4223_291_cat186__kornia.jpg,TM_60221,kornia,186,4223_291
glyph_crops_merged_by_tm/TM_60221/4223_90_cat100__kornia.jpg,TM_60221,kornia,100,4223_90
glyph_crops_merged_by_tm/TM_60221/4223_7900_cat161__opencv.jpg,TM_60221,opencv,161,4223_7900
glyph_crops_merged_by_tm/TM_60221/4223_179_cat186__kornia.jpg,TM_60221,kornia,186,4223_179
glyph_crops_merged_by_tm/TM_60221/4223_108_cat8__kornia.jpg,TM_60221,kornia,8,4223_108
glyph_crops_merged_by_tm/TM_60221/4223_8111_cat8__opencv.jpg,TM_60221,opencv,8,4223_8111
glyph_crops_merged_by_tm/TM_60221/4223_8064_cat150__opencv.jpg,TM_60221,opencv,150,4223_8064
glyph_crops_merged_by_tm/TM_60221/4223_10_cat8__kornia.jpg,TM_60221,kornia,8,4223_10
glyph_crops_merged_by_tm/TM_60221/4223_70_cat225__kornia.jpg,TM_60221,kornia,225,4223_70
glyph_crops_merged_by_tm/TM_60221/4223_7929_cat23__opencv.jpg,TM_60221,opencv,23,4223_7929
glyph_crops_merged_by_tm/TM_60221/4223_183_cat201__kornia.jpg,TM_60221,kornia,201,4223_183
glyph_crops_merged_by_tm/TM_60221/4223_281_cat201__kornia.jpg,TM_60221,kornia,201,4223_281
glyph_crops_merged_by_tm/TM_60221/4223_163_cat8__kornia.jpg,TM_60221,kornia,8,4223_163
glyph_crops_merged_by_tm/TM_60221/4223_297_cat23__kornia.jpg,TM_60221,kornia,23,4223_297
glyph_crops_merged_by_tm/TM_60221/4223_8052_cat107__opencv.jpg,TM_60221,opencv,107,4223_8052
glyph_crops_merged_by_tm/TM_60221/4223_27_cat225__kornia.jpg,TM_60221,kornia,225,4223_27
glyph_crops_merged_by_tm/TM_60221/4223_139_cat201__kornia.jpg,TM_60221,kornia,201,4223_139
glyph_crops_merged_by_tm/TM_60221/4223_8121_cat8__opencv.jpg,TM_60221,opencv,8,4223_8121
glyph_crops_merged_by_tm/TM_60221/4223_8152_cat45__opencv.jpg,TM_60221,opencv,45,4223_8152
glyph_crops_merged_by_tm/TM_60221/4223_7861_cat120__opencv.jpg,TM_60221,opencv,120,4223_7861
glyph_crops_merged_by_tm/TM_60221/4223_92_cat17__kornia.jpg,TM_60221,kornia,17,4223_92
glyph_crops_merged_by_tm/TM_60221/4223_8056_cat100__opencv.jpg,TM_60221,opencv,100,4223_8056
